	sales_price	original_price
2019-04-16 17:31:34	449,00	659,95
2019-04-16 17:32:19	449,00	659,95
2019-04-16 17:32:37	449,00	659,95
2019-04-17 13:08:02	449,00	659,95
2019-04-17 13:08:22	449,00	659,95
2019-04-18 10:20:54	449,00	659,95
2019-04-18 10:22:57	449,00	659,95
2019-04-18 18:00:40	449,00	659,95
2019-04-19 11:20:12	449,00	659,95
2019-04-19 11:22:41	449,00	659,95
2019-04-23 11:23:02	449,00	659,95
2019-04-23 13:04:04	449,00	659,95
2019-04-23 13:04:35	449,00	659,95
2019-04-23 13:09:37	449,00	659,95
2019-04-23 13:11:01	449,00	659,95
2019-04-23 13:13:18	449,00	659,95
2019-04-23 13:13:34	449,00	659,95
2019-04-23 13:23:51	449,00	659,95
2019-04-23 13:28:01	449,00	659,95
2019-04-23 13:30:33	449,00	659,95
2019-04-23 14:15:57	449,00	659,95
2019-04-24 13:20:59	449,00	659,95
2019-04-24 20:36:18	449,00	659,95
2019-04-24 20:36:45	449,00	659,95
2019-04-25 13:39:47	449,00	659,95
2019-04-26 13:11:22	428,97	659,95
2019-04-27 14:43:03	428,97	659,95
2019-04-28 15:18:07	428,97	659,95
